URL,LOC,NOC,Cyclomatic Complexity,Maintainability Index,Average Cyclomatic Number per line of code,Average Source Lines of Code per method
https://github.com/shebnik/BingNUOS-Admin,3013,73,751,73,0.24925323597743113,9
https://github.com/shebnik/poprey_app,3320,95,726,76,0.21867469879518073,8
https://github.com/shebnik/PersonalFinanceApp,3306,80,595,72,0.17997580157289775,10
https://github.com/nafishahmeddev/fintracker,2410,42,324,67,0.13443983402489626,17
https://github.com/robert-muriithi/Game-Flix,5036,286,861,83,0.1709690230341541,8
https://github.com/fregie/pho,5021,67,1248,56,0.2485560645289783,7
https://github.com/krille-chan/fluffychat,,,,,,
https://github.com/picnic-app-cool/picnic-app,72069,3245,17403,81,0.24147691795362777,5
https://github.com/HypeTeqSoftware/FitnessApp,5226,54,182,72,0.03482587064676617,42
https://github.com/R8bert/busappschedule,829,14,57,76,0.06875753920386007,27
https://github.com/AbdQader/flutter_grocery_app,1458,59,281,65,0.19272976680384088,10
https://github.com/Sameera-Perera/Flutter-TDD-Clean-Architecture-E-Commerce-App,4438,217,718,82,0.16178458765209555,9
https://github.com/Roaa94/wallet_app_workshop,1390,37,143,76,0.10287769784172662,14
https://github.com/mohamadayash22/flutter-movie-app,3039,174,547,82,0.17999341888779205,7
https://github.com/mbcorona/flutter_cars_app,525,12,35,72,0.06666666666666667,16
https://github.com/aymanattieh77/fashion-app,6431,377,1364,77,0.21209765199813405,6
https://github.com/AbdQader/flutter_ecommerce_app,1269,46,205,74,0.16154452324665092,11
https://github.com/iManYarahmadi/TravelApp,1183,22,54,70,0.04564666103127642,27
https://github.com/anandnet/Harmony-Music,10524,79,1547,68,0.14699733941467122,23
https://github.com/AmirBayat0/Flutter-Travel-App,,,,,,
https://github.com/tanvir-robin/weather-app,750,31,159,68,0.212,8
https://github.com/MasteerRui/WeatherApp-Flutter,,,,,,
https://github.com/NobodyForNothing/blood-pressure-monitor-fl,4506,82,878,70,0.19485130936529071,12
https://github.com/tusharhow/movie-app,612,8,21,58,0.03431372549019608,34
https://github.com/SamarthMovaliya/ecommerce_app_flutter_firebase,3704,32,152,72,0.04103671706263499,60
https://github.com/Saffar-Org/saffar_app,3722,122,538,71,0.1445459430413756,15
https://github.com/dudecoderr/Electronics_E-Commerce_App_in_flutter,1327,15,64,80,0.04822908816880181,40
https://github.com/dicky7/ngandika_app,6059,244,927,76,0.15299554381911207,9
https://github.com/suleymangunes/TradingView-app,507,76,212,84,0.4181459566074951,3
https://github.com/Re4ch-Jay/Meditation_App,369,8,22,56,0.05962059620596206,18
https://github.com/darkmoonight/Rain,6200,59,525,71,0.0846774193548387,36
https://github.com/mohammadfallah7/mnml_ecommerce_application,218,12,31,76,0.14220183486238533,9
https://github.com/rafaymushtaq05/flutter_tourism_app,2975,47,290,74,0.09747899159663866,23
https://github.com/wwwwww3q/social_app,9377,187,1349,71,0.1438626426362376,13
https://github.com/EmirBashiri/Flutter-E-commerce-X,3929,150,371,73,0.09442606261135149,19
https://github.com/alireza4585/Flutter-Shopping-App,1418,29,94,74,0.06629055007052186,20
https://github.com/antonkarliner/timer-coffee,1788,42,256,78,0.14317673378076062,12
https://github.com/zaaii/my_comic,1299,94,222,82,0.17090069284064666,7
https://github.com/Hamad-Anwar/Task-Sync-Pro-V2,2199,58,219,71,0.09959072305593451,14
https://github.com/nightFuryman/flutter-feed-app,2459,35,274,51,0.11142740951606345,17
https://github.com/dreautall/waterfly-iii,9386,121,1651,70,0.17590027700831026,27
https://github.com/IsaiasCuvula/quote_generator,2729,151,572,32,0.20960058629534628,6
https://github.com/HossamShafeek/Weather-App,1781,105,278,76,0.15609208309938236,9
https://github.com/dstark5/Openlib,2729,43,322,71,0.11799193843898864,22
https://github.com/FriesI23/mhabit,16623,334,4470,53,0.2689045298682548,9
https://github.com/Myzel394/locus,16786,265,2275,66,0.13552960800667221,15
https://github.com/adityar224/FlutterMarkdownEditor,751,9,68,66,0.09054593874833555,22
https://github.com/cem256/manga_clean_arch,908,93,332,75,0.3656387665198238,3
https://github.com/Shashank02051997/AgentX-Flutter,352,18,60,50,0.17045454545454544,9
https://github.com/riccardocescon/clean_chess,7126,274,1643,74,0.23056413134998596,6
